1;6;1;1;
10;69;1;1;
11;1;1;1;
12;22;1;1;
13;76;1;1;
14;59;1;1;
15;78;1;1;
16;17;1;1;
17;53;1;1;
17;55;1;1;
18;75;1;1;
19;21;1;1;
2;10;1;1;
2;51;1;1;
20;23;1;1;
20;25;1;1;
21;9;1;1;
22;33;1;1;
23;25;1;1;
24;5;1;1;
25;24;1;1;
25;5;1;1;
26;3;1;1;
27;83;1;1;
28;96;1;1;
29;27;1;1;
3;4;1;1;
30;31;1;1;
31;8;1;1;
32;39;1;1;
33;20;1;1;
34;85;1;1;
35;34;1;1;
36;70;1;1;
37;71;1;1;
38;40;1;1;
39;12;1;1;
39;48;1;1;
39;5;1;1;
4;19;1;1;
4;36;1;1;
4;45;1;1;
40;64;1;1;
41;60;1;1;
42;46;1;1;
43;42;1;1;
44;43;1;1;
44;95;1;1;
45;39;1;1;
45;97;1;1;
46;56;1;1;
46;94;1;1;
47;13;1;1;
47;67;1;1;
48;90;1;1;
49;39;1;1;
5;1;1;1;
5;2;1;1;
5;52;1;1;
5;54;1;1;
50;43;1;1;
51;15;1;1;
52;14;1;1;
53;26;1;1;
54;2;1;1;
54;28;1;1;
55;53;1;1;
56;37;1;1;
57;55;1;1;
58;68;1;1;
59;35;1;1;
6;72;1;1;
60;44;1;1;
60;66;1;1;
61;63;1;1;
62;74;1;1;
63;62;1;1;
64;32;1;1;
65;87;1;1;
67;57;1;1;
68;58;1;1;
68;84;1;1;
69;11;1;1;
69;88;1;1;
7;81;1;1;
70;92;1;1;
71;74;1;1;
72;73;1;1;
73;29;1;1;
73;38;1;1;
73;45;1;1;
74;25;1;1;
75;13;1;1;
76;7;1;1;
77;47;1;1;
78;79;1;1;
79;77;1;1;
8;33;1;1;
80;86;1;1;
81;80;1;1;
82;93;1;1;
83;68;1;1;
84;50;1;1;
84;61;1;1;
85;81;1;1;
86;16;1;1;
87;82;1;1;
88;69;1;1;
89;49;1;1;
9;30;1;1;
90;87;1;1;
91;45;1;1;
92;91;1;1;
93;44;1;1;
93;89;1;1;
94;24;1;1;
96;18;1;1;
97;41;1;1;
84;94;2;1;
94;84;2;1;
83;84;2;1;
84;83;2;1;
